FishNumber,DateCaught,MonthCaught,Month,LTMPSamplingRegion,BARReportingRegions,CatchLocation,JulieRegion,SexCode,Sex,tl.mm.,tl,IncrementCount,Readability,EdgeType,yr,AgeClass,YearClass,LTMPno
15BAR2103,5/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,760,76,6,5,3,2015,6,2009,#003
15BAR2104,5/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,780,78,5,5,3,2015,5,2010,#004
15BAR2105,5/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,800,80,6,5,3,2015,6,2009,#005
15BAR2106,5/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,810,81,4,5,3,2015,4,2011,#006
15BAR2109,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,740,74,4,5,3,2015,4,2011,#009
15BAR2110,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,950,95,6,5,3,2015,6,2009,#010
15BAR2112,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,850,85,4,5,3,2015,4,2011,#012
15BAR2114,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,930,93,5,3,3,2015,5,2010,#014
15BAR2115,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,840,84,7,5,3,2015,7,2008,#015
15BAR2116,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,700,70,4,3,3,2015,4,2011,#016
15BAR2119,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,690,69,4,5,3,2015,4,2011,#019
15BAR2125,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,750,75,4,5,3,2015,4,2011,#025
15BAR2127,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,730,73,5,3,1,2015,4,2011,#027
15BAR2131,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,1,Male,740,74,6,5,3,2015,6,2009,#031
15BAR2132,6/3/15,3,March,Karumba Region,Gulf of Carpentaria,Gilbert River,Southern GoC,2,Female,1010,101,5,5,2,2015,5,2010,#032
