Amplicon,CpG_site,Month_Treatment,Reference.Frequency.P,FishNo,Treatment,Month
nr5a2_P,-420,Female.Captive,0.093,Unknown,Female,Captive
nr5a2_P,-420,Female.Captive,0.087,Unknown,Female,Captive
nr5a2_P,-420,Female.Captive,0.106,Unknown,Female,Captive
nr5a2_P,-420,Female.Wild,0.148,Unknown,Female,Wild
nr5a2_P,-420,Female.Wild,0.199,Unknown,Female,Wild
nr5a2_P,-420,Male.Captive,0.075,Unknown,Male,Captive
nr5a2_P,-420,Male.Captive,0.078,Unknown,Male,Captive
nr5a2_P,-420,Male.Wild,0.099,Unknown,Male,Wild
nr5a2_P,-420,Male.Wild,0.081,Unknown,Male,Wild
nr5a2_P,-420,Male.Wild,0.068,Unknown,Male,Wild
nr5a2_P,-420,Male.Wild,0.091,Unknown,Male,Wild
nr5a2_P,-420,Male.Wild,0.062,Unknown,Male,Wild
nr5a2_P,-366,Female.Captive,0.089,Unknown,Female,Captive
nr5a2_P,-366,Female.Captive,0.128,Unknown,Female,Captive
nr5a2_P,-366,Female.Captive,0.125,Unknown,Female,Captive
nr5a2_P,-366,Female.Wild,0.154,Unknown,Female,Wild
nr5a2_P,-366,Female.Wild,0.21,Unknown,Female,Wild
nr5a2_P,-366,Male.Captive,0.091,Unknown,Male,Captive
nr5a2_P,-366,Male.Captive,0.087,Unknown,Male,Captive
nr5a2_P,-366,Male.Wild,0.115,Unknown,Male,Wild
nr5a2_P,-366,Male.Wild,0.175,Unknown,Male,Wild
nr5a2_P,-366,Male.Wild,0.111,Unknown,Male,Wild
nr5a2_P,-366,Male.Wild,0.072,Unknown,Male,Wild
nr5a2_P,-358,Female.Captive,0.124,Unknown,Female,Captive
nr5a2_P,-358,Female.Captive,0.144,Unknown,Female,Captive
nr5a2_P,-358,Female.Captive,0.112,Unknown,Female,Captive
nr5a2_P,-358,Female.Wild,0.137,Unknown,Female,Wild
nr5a2_P,-358,Female.Wild,0.191,Unknown,Female,Wild
nr5a2_P,-358,Male.Captive,0.131,Unknown,Male,Captive
nr5a2_P,-358,Male.Captive,0.101,Unknown,Male,Captive
